"state_fips","county_fips","pop1996","pop1997","pop1998","pop1999","state","county","pop2000","pop2001","pop2002","pop2003","pop2004","pop2005","pop2006","pop2007","pop2008","pop2009","pop2010","pop2011","pop2012","pop2013","pop2014","pop2015","pop2016","pop2017","pop2018","pop2019"
13,297,49296,51429,54629,58498,"Georgia","Walton",61559,64295,66856,69204,71741,75494,79295,83241,85872,87311,83992,84630,84975,86041,87526,88333,89786,91296,93202,94593
13,299,35467,35630,35414,35232,"Georgia","Ware",35439,35442,35152,35160,34915,34922,35538,35931,35984,35914,36308,36274,35893,35743,35513,35327,35648,35668,35587,35734
13,3,6959,7137,7158,7295,"Georgia","Atkinson",7610,7627,7708,7923,7893,7976,8049,8165,8198,8230,8364,8360,8255,8264,8215,8340,8244,8182,8262,8165
13,301,5972,5998,6070,6075,"Georgia","Warren",6296,6356,6249,6183,6130,6063,5930,5865,5823,5755,5782,5677,5544,5518,5458,5374,5345,5265,5247,5254
13,303,19802,20019,20055,20198,"Georgia","Washington",21160,21119,20908,20970,20901,19914,20520,20853,20874,20879,21093,20969,20790,20573,20548,20736,20347,20311,20410,20374
13,305,24643,24983,25360,25610,"Georgia","Wayne",26591,26845,27207,27679,27990,28263,28568,28996,29535,29407,30074,30294,30320,29990,29891,29430,29974,29797,29810,29927
13,307,2213,2262,2200,2203,"Georgia","Webster",2377,2288,2247,2278,2275,2240,2232,2266,2200,2192,2781,2764,2765,2669,2611,2631,2616,2589,2606,2607
13,309,4916,4983,4900,4864,"Georgia","Wheeler",6183,6674,6539,6502,6401,6589,6830,6783,6885,7010,7769,8079,7933,7935,7984,7911,8015,7960,7898,7855
13,31,49236,49869,50554,50777,"Georgia","Bulloch",56223,57019,57683,59694,61274,63548,64860,66412,67795,69213,70559,72637,73102,71816,72651,73116,74642,75991,77242,79608
13,311,16087,16838,17485,18195,"Georgia","White",20127,20931,21929,22631,23287,23769,24451,24873,25122,25294,27203,27401,27626,27830,28021,28387,28828,29445,29988,30798
13,313,79771,81171,82042,83220,"Georgia","Whitfield",84064,85447,86381,86972,88518,89975,91331,92707,93748,93698,102745,102920,102948,102728,103083,103669,104406,104234,104249,104628
13,315,7246,7323,7361,7419,"Georgia","Wilcox",8574,8786,8659,8675,8709,8599,8652,8668,8791,8895,9314,9252,9074,9061,8937,9024,8841,8791,8827,8635
13,317,10561,10634,10606,10556,"Georgia","Wilkes",10670,10593,10605,10604,10435,10332,10307,10241,10314,10268,10388,10229,10086,9920,9949,9911,9809,9860,9864,9777
13,319,10782,10777,10863,10908,"Georgia","Wilkinson",10222,10298,10238,10173,10123,10083,10019,10031,10013,10076,9529,9416,9484,9363,9284,9080,9020,8954,9043,8954
13,321,21944,22288,22446,22483,"Georgia","Worth",21968,21971,21767,21723,21664,21432,21473,21315,21322,21214,21692,21512,21349,21052,21006,20688,20703,20528,20302,20247
13,33,21846,22460,22825,23217,"Georgia","Burke",22276,22640,22674,22684,22818,22843,22731,22823,22840,22797,23336,23506,23048,22824,22621,22632,22601,22545,22439,22383
13,35,16546,17238,17822,18380,"Georgia","Butts",19737,20364,21232,21816,22026,22453,23101,23644,24388,24392,23786,23609,23438,23218,23341,23520,23736,24067,24192,24936
13,37,4918,5065,5002,4936,"Georgia","Calhoun",6322,6233,6261,6147,6127,6035,6086,5988,6152,6306,6697,6625,6565,6596,6506,6534,6359,6389,6353,6189
13,39,42953,45571,47322,47032,"Georgia","Camden",43758,44515,45609,44477,45215,45798,45601,47365,47973,48277,50661,50303,51351,51404,51909,52439,52394,53005,53651,54666
13,43,8614,8869,9099,8953,"Georgia","Candler",9581,9439,9761,9889,9966,10049,10246,10432,10495,10680,11025,11209,11102,10960,10865,10873,10849,10706,10827,10803
13,45,79545,81124,82904,84765,"Georgia","Carroll",88009,91572,94874,98511,101304,104465,108255,111928,113781,114778,110655,110728,111412,112265,113933,114461,116077,117390,117997,119992
13,47,48266,49386,50709,52100,"Georgia","Catoosa",53626,54694,56060,57595,58831,59668,60999,62457,63215,64035,64069,64753,64864,65221,65467,65778,66265,66495,67380,67580
13,49,9275,9264,9433,9462,"Georgia","Charlton",10270,10446,10494,10648,10541,10582,10767,10592,10833,10725,12853,13455,13348,13107,13051,13239,12842,12810,12919,13392
13,5,10373,10314,10364,10365,"Georgia","Bacon",10122,10098,10008,10091,10059,10277,10345,10564,10532,10601,11062,11145,11150,11173,11178,11231,11275,11205,11132,11164
13,51,225423,225505,225297,225662,"Georgia","Chatham",232347,233592,235712,236488,238992,239889,243761,248596,251151,256992,265799,271623,276164,277650,282201,285959,288615,289309,289166,289430
13,53,16130,16337,16408,16654,"Georgia","Chattahoochee",14990,15974,19189,17448,17497,16275,13463,13905,13774,14402,11182,11257,12265,12245,11696,11042,10047,10205,10600,10907
13,55,22892,22897,22748,22858,"Georgia","Chattooga",25495,25819,25922,26276,25910,25956,26168,26870,26845,26619,25959,25685,25627,25049,24861,24905,24836,24746,24782,24789
13,57,121187,127110,134352,141686,"Georgia","Cherokee",143783,151348,159006,165961,173692,182858,194219,203890,210115,215084,215197,217732,220643,224314,230167,235329,241795,247763,253914,258773
13,59,90218,90696,90516,90638,"Georgia","Clarke",101972,103471,104241,105840,109289,109083,111524,113457,115154,116342,117403,118229,119891,120888,120386,123561,124905,126815,127268,128331
13,61,3398,3461,3493,3524,"Georgia","Clay",3366,3361,3298,3275,3202,3158,3162,3181,3164,3113,3177,3162,3106,3015,3072,3077,3005,2955,2884,2834
13,63,201748,204800,208997,213727,"Georgia","Clayton",238383,247251,252560,257983,262316,264866,268907,272705,276009,275772,259877,262031,265294,264015,266629,272720,279333,284184,289197,292256
13,65,6564,6590,6649,6677,"Georgia","Clinch",6868,6861,6906,7012,6973,7044,6935,6964,7089,6988,6764,6718,6690,6758,6781,6826,6742,6643,6603,6618
13,67,536992,551288,566060,583541,"Georgia","Cobb",612633,626934,637772,643816,652358,661442,679699,691496,704822,714692,689495,696507,706322,716017,727543,739052,748178,752649,756070,760141
13,69,33080,33800,34230,34958,"Georgia","Coffee",37566,38194,38526,38756,38835,39145,39881,40353,40742,40868,42728,42996,43124,43078,42884,42987,42908,42880,43055,43273
13,7,3693,3719,3627,3617,"Georgia","Baker",4053,4038,3954,4154,4056,3996,3902,3744,3772,3637,3431,3311,3372,3348,3288,3194,3183,3159,3086,3038
13,71,38777,39601,40229,40724,"Georgia","Colquitt",42132,42289,42706,42801,43275,43342,44101,44718,45410,45596,45634,45772,46013,46126,45864,45466,45429,45480,45455,45600
13,73,86087,88695,90854,93312,"Georgia","Columbia",89781,91533,94135,96391,99585,102209,105558,108859,110491,112958,124955,128804,132541,136141,139104,143837,147370,151529,154077,156714
13,75,14297,14626,14988,15197,"Georgia","Cook",15840,15804,15880,15896,16110,16277,16231,16401,16581,16603,17185,17033,16904,17051,17297,17070,17162,17213,17171,17270
13,77,76420,80740,85118,89401,"Georgia","Coweta",90148,93765,97424,100684,104496,108841,114324,118964,123416,127111,127937,129374,130593,132944,135140,138145,140497,143153,145998,148509
13,79,10428,10731,10655,10414,"Georgia","Crawford",12429,12446,12447,12438,12572,12607,12617,12540,12553,12240,12587,12585,12579,12483,12401,12354,12268,12263,12334,12404
13,81,20694,20539,20693,20637,"Georgia","Crisp",21971,22025,21993,21755,21778,21774,21914,22179,22233,22210,23433,23753,23589,23298,23061,22959,22905,22710,22617,22372
13,83,14477,14604,15057,15344,"Georgia","Dade",15176,15460,15592,15723,15797,15877,16018,16195,16132,16127,16630,16600,16518,16453,16289,16162,16224,16254,16227,16116
